,name,category_groups_list,country_code,primary_role,homepage_url
19559,Lumavita,"Biotechnology,Community and Lifestyle,Health Care,Science and Engineering",CHE,company,http://www.lesgaga.com/
19656,Genix Systems,Software,CHE,company,
20227,Purple Labs,"Consumer Electronics,Hardware,Mobile,Software",CHE,company,http://www.purplelabs.com
20295,Beqom,"Administrative Services,Software",CHE,company,http://www.beqom.com
21093,Oriact,"Administrative Services,Other,Software",CHE,company,http://www.oriact.com
21119,SECU4,"Consumer Electronics,Hardware,Information Technology,Mobile,Privacy and Security,Software",CHE,company,http://www.secu4.com
21365,SymbioTec,Internet Services,CHE,company,http://www.symbiotec.biz
21378,AXSionics,"Consumer Electronics,Financial Services,Hardware,Information Technology,Internet Services,Payments,Privacy and Security",CHE,company,http://www.axsionics.ch
21405,Luxoft,"Information Technology,Professional Services,Software",CHE,company,http://www.luxoft.com
21546,KeyLemon,"Consumer Electronics,Data and Analytics,Hardware,Mobile,Software",CHE,company,https://www.keylemon.com
21632,Ammado AG,"Other,Software",CHE,company,http://www.ammado.com
21706,Eurosport Media,"Advertising,Apps,Content and Publishing,Media and Entertainment,Sales and Marketing,Software,Sports,Video",CHE,company,
21814,RedBid,Commerce and Shopping,CHE,company,http://www.redbid.com
22643,78s,"Content and Publishing,Media and Entertainment,Music and Audio",CHE,company,http://www.78s.ch
22809,balesio AG,"Education,Software",CHE,company,http://www.balesio.com
23645,Luxury Society,"Commerce and Shopping,Information Technology",CHE,company,http://luxurysociety.com/
23660,Sur La Terre International,"Clothing and Apparel,Commerce and Shopping,Community and Lifestyle,Content and Publishing,Design,Media and Entertainment",CHE,company,http://www.surlaterre.com
23903,FakeGuard,"Clothing and Apparel,Commerce and Shopping,Design",CHE,company,http://fakeguard.net
23905,SAF,Software,CHE,company,http://www.saf-ag.com
25083,Alcon,"Health Care,Manufacturing",CHE,company,http://www.alcon.com
25713,Lonza Group,"Biotechnology,Health Care,Science and Engineering",CHE,company,http://www.lonza.com
26251,routeRANK,"Apps,Internet Services,Software,Sustainability,Transportation,Travel and Tourism",CHE,company,http://www.routerank.com
26298,GlobalVision Communication,"Data and Analytics,Media and Entertainment,Mobile,Navigation and Mapping,Sales and Marketing,Video",CHE,company,http://www.globalvision.ch
26335,ProBinder,"Other,Software",CHE,company,http://probinder.com
26582,Electronlibre,"Advertising,Commerce and Shopping,Design,Sales and Marketing",CHE,company,http://www.electronlibre.com
26665,Radix Technologies,"Internet Services,Software",CHE,company,http://www.radix-technologies.com
26760,Endosense,"Biotechnology,Health Care,Science and Engineering",CHE,company,http://www.endosense.com
26771,Evolva,"Biotechnology,Food and Beverage,Health Care,Professional Services,Science and Engineering",CHE,company,http://www.evolva.com/
26780,Garmin,"Consumer Electronics,Hardware,Manufacturing,Software",CHE,company,https://www.garmin.com/en-US/
26792,Jobzippers,"Administrative Services,Education,Events,Information Technology,Media and Entertainment,Other,Privacy and Security,Professional Services",CHE,company,http://www.jobzippers.com
27067,orange8 interactive,"Advertising,Internet Services,Sales and Marketing",CHE,company,
27163,Landis+Gyr,"Consumer Electronics,Energy,Hardware,Sustainability",CHE,company,https://www.landisgyr.se/
27309,Sonova Holding,"Manufacturing,Other,Professional Services",CHE,company,http://www.sonova.com
27310,Advanced Bionics,"Health Care,Manufacturing,Software",CHE,company,http://www.advancedbionics.com
27577,Traxess,"Mobile,Platforms,Software",CHE,company,http://www.traxess.ch/
27702,Minsh,"Community and Lifestyle,Mobile",CHE,company,http://minsh.com
27823,Cardiola,"Biotechnology,Health Care,Science and Engineering",CHE,company,http://www.cardiola.com/home.html?L=1
28219,Xigen,"Biotechnology,Health Care,Science and Engineering",CHE,company,http://www.xigenpharma.com
28306,AllTheContent.com,"Internet Services,Media and Entertainment,Mobile,Software",CHE,company,http://www.allthecontent.com
28313,Covagen,"Biotechnology,Health Care,Science and Engineering",CHE,company,http://www.covagen.com
28491,IFPMA Clinical Trials Portal,Internet Services,CHE,company,http://www.clinicaltrials.ifpma.org/
28517,Numonyx,"Hardware,Manufacturing,Science and Engineering",CHE,company,http://www.numonyx.com
28553,Sandbox,"Community and Lifestyle,Events,Internet Services,Media and Entertainment,Professional Services",CHE,company,http://sandbox.is
28599,Dartfish,"Education,Health Care,Internet Services,Media and Entertainment,Sports,Video",CHE,company,http://www.dartfish.com
29307,Pure Klimaschutz,"Education,Financial Services,Information Technology,Other",CHE,company,http://pure-carbon.ch
29378,Molecular Partners,"Biotechnology,Health Care,Science and Engineering",CHE,company,http://www.molecularpartners.com
29448,Auris Medical,Health Care,CHE,company,http://www.aurismedical.com
30084,produkte24.com,"Content and Publishing,Internet Services,Media and Entertainment,Software",CHE,company,http://www.produkte24.com
30224,Jaree,"Sales and Marketing,Software",CHE,company,http://www.jaree.com
30295,Suisseo,"Advertising,Internet Services,Professional Services,Sales and Marketing",CHE,company,https://www.suisseo.ch
30329,Ascom Holding,"Hardware,Health Care,Mobile",CHE,company,http://www.ascom.com
30342,ETF Group,"Consumer Electronics,Hardware,Software",CHE,company,http://www.etfgroup.com
30385,CeQur,"Administrative Services,Biotechnology,Health Care,Science and Engineering",CHE,company,http://www.cequrcorp.com
30490,goFLUENT,Education,CHE,company,http://www.gofluent.com
30755,Zeeyoo,"Events,Media and Entertainment,Messaging and Telecommunications,Software",CHE,company,http://www.zeeyoo.com
31375,Qino,"Financial Services,Internet Services,Lending and Investments",CHE,company,http://www.qino.com
31865,Kudelski Group,"Hardware,Software",CHE,company,http://www.nagra.com/
31871,TE Connectivity,"Energy,Hardware,Software",CHE,company,http://www.te.com
32065,Imina Technologies,"Consumer Electronics,Data and Analytics,Hardware,Science and Engineering,Software",CHE,company,http://www.imina.ch
32220,local.ch,Internet Services,CHE,company,http://www.local.ch
32532,Mercuria Energy Group,"Energy,Natural Resources",CHE,company,http://www.mercuria.com/
32611,Peeptoday,"Apps,Internet Services,Other,Software",CHE,company,http://www.peeptoday.com
32743,NemeriX,"Hardware,Navigation and Mapping,Science and Engineering,Software",CHE,company,http://www.nemerix.com
32798,AmVac,"Biotechnology,Health Care,Science and Engineering",CHE,company,http://www.amvac.eu
32804,Debiopharm Group,"Biotechnology,Health Care,Science and Engineering",CHE,company,http://www.debiopharm.com/
32895,Habitusnet Consulting AG,"Information Technology,Internet Services,Professional Services",CHE,company,http://www.habitusnet.ch
33284,CloudSigma,"Internet Services,Other,Software",CHE,company,http://www.cloudsigma.com
33434,Youblisher,"Content and Publishing,Internet Services,Media and Entertainment,Software",CHE,company,http://www.youblisher.com
33784,Resume Companion,"Professional Services,Software",CHE,company,http://resumecompanion.com
34514,idiag,"Biotechnology,Science and Engineering",CHE,company,http://www.idiag.ch
34537,AppTornado,"Mobile,Platforms,Software",CHE,company,https://www.apptornado.com/
34982,NextWidgets,"Advertising,Apps,Commerce and Shopping,Software",CHE,company,http://www.nextwidgets.com
35032,Swisscom AutoID services,"Hardware,Mobile,Software",CHE,company,http://www.swisscom.com/autoid
35108,FIRSTGATE Holding,"Hardware,Internet Services,Media and Entertainment",CHE,company,
35190,RapidTainment,"Advertising,Gaming,Internet Services,Media and Entertainment,Sales and Marketing",CHE,company,
36317,Telfree,"Information Technology,Internet Services,Messaging and Telecommunications,Mobile,Platforms,Software",CHE,company,http://www.telfree.com
36482,ASSET4,"Community and Lifestyle,Content and Publishing,Information Technology,Media and Entertainment",CHE,company,http://www.asset4.com
36519,Nagravision,Software,CHE,company,http://www.nagra.com/dtv/
36841,WISeKey,"Artificial Intelligence,Data and Analytics,Information Technology,Internet Services,Other,Privacy and Security,Science and Engineering,Software",CHE,company,http://www.wisekey.com
